CremonaReference,InitialHeight
2280a1,0.631140094067471762802330343
2280a2,0.423756722350673794393227173
2280a3,1.34856034506340658217983240
2280a4,2.40839254722908772759952290
2280b1,0.433301486634732641478694277
2280b2,0.866602973269465282957388553
2280b3,0.433301486634732641478694277
2280b4,0
2280c1,2.07126945370724414955127229
2280c2,0.662312459538187513922791596
2280c3,0
2280c4,0
2280d1,0.219449243949302920625437860
2280d2,0.317624792694835998337073238
2280e1,0.424198499878833598453688639
2280e2,0.779539707067302491044846887
2280e3,0
2280e4,3.25729320441334076730613599
2280f1,0
2280f2,2.31403292299918434268395575
2280g1,0.355265554138576922890216408
2280g2,0.523395620530292904351633465
2280h1,0.419238048442643298911893265
2280h2,0.474411555538408698969684368
2280i1,0.653645453959680850180196764
2280i2,0.704914453103594904198009838
2280i3,2.42576642585752537909534105
2280i4,0
2280i5,0
2280i6,4.85153285171505075819068210
2280j1,1.09541436086289791508420919
2280j2,0.835451805228931418382331355
2280j3,0.459794266480651560244374044
2280j4,1.67090361045786283676466271
