CremonaReference,InitialHeight
1472a1,0.103067236811636715445912720
1472b1,0.377798363609300783036241128
1472b2,0.469641310301086536321313722
1472c1,0.538265324648664777750755040
1472c2,0.269132662324332388875377520
1472d1,0.0990304840435172921998959419
1472d2,5.74566823512470874268847388
1472e1,0.123130911201876540327916332
1472f1,0.0498083972980648266401690939
1472g1,0.255896742483322200321384489
1472h1,0.538265324648664777750755040
1472h2,0.408316753352652611225555688
1472i1,0.0990304840435172921998959419
1472i2,0
1472j1,0.123130911201876540327916332
1472k1,0.255896742483322200321384489
1472l1,0.0498083972980648266401690939
1472m1,0.476996713007230434469661415
1472m2,0.158998904335743478156553805
1472n1,0.103067236811636715445912720
