CremonaReference,InitialHeight
2535a1,1.02832002568703571514062137
2535a2,1.24342451916486491712262691
2535a3,1.26760932544880675781365362
2535a4,0
2535a5,0.895869619280860993381007326
2535a6,2.44951603877716469275389918
2535a7,0
2535a8,0
2535b1,0
2535c1,0
2535d1,0.236654977015355989565613715
2535e1,0
2535e2,0
2535f1,0
2535f2,4.19114709111086030765371589
2535f3,3.68538811446777766069950068
2535f4,0
2535f5,0
2535f6,0
2535f7,0
2535f8,0
2535g1,0.0925529710232922567427124777
2535h1,0.0995172561514167819149880405
2535i1,0.0943495446043827722858902407
2535i2,0.188699089208765544571780481
2535j1,0.396539414185833818309432301
2535j2,0.736757655457545614256461980
2535k1,0
2535l1,0.0925529710232922567427124777
2535m1,0.377398178417531089143560962
2535m2,0
