CremonaReference,InitialHeight
768a1,0.439295861304824408345332390
768a2,0.219647930652412204172666195
768b1,0.422267343341796652758937009
768b2,0.283329188469213523318302270
768b3,0.224482199285751912879828699
768b4,1.79585759428601530303862960
768c1,0.439295861304824408345332390
768c2,0.219647930652412204172666195
768d1,0.283329188469213523318302270
768d2,0.251901806041684998659037289
768d3,0.448964398571503825759657399
768d4,0.224482199285751912879828699
768e1,0.385972529196615244876150722
768e2,0.439295861304824408345332390
768f1,0.503803612083369997318074579
768f2,0.423862549017719822242225914
768f3,0.112241099642875956439914350
768f4,0.224482199285751912879828699
768g1,0.219647930652412204172666195
768g2,0.192986264598307622438075361
768h1,0.251901806041684998659037289
768h2,0.503803612083369997318074579
768h3,0.224482199285751912879828699
768h4,1.79585759428601530303862960
