CremonaReference,InitialHeight
1368a1,0.335767450408798522768190372
1368a2,1.30517816951244305181105372
1368b1,0.273774057523628734695437250
1368b2,0.547548115047257469390874500
1368c1,0.133138935391886104080051488
1368d1,0.335767450408798522768190373
1368d2,0.473579104413222471243586794
1368e1,0.536009954725937961104177247
1368e2,0.268004977362968980552088623
1368f1,0.0654148695884119662456632223
1368g1,0.549034424095603218514871152
1368g2,0.853723931591937074558394070
1368g3,2.39139900302264943542916881
1368g4,0
1368h1,0.103366441093285452720164291
1368i1,0.0321222210000764774899217068
1368j1,0.278328539731946441374976823
1368j2,0.606732609647507080103478640
