CremonaReference,InitialHeight
870a1,0.226726284691765458323768589
870a2,0.113363142345882729161884295
870a3,0
870a4,0.768731084930039454918122828
870b1,0.602139591577285131570214774
870b2,0.780905955358295395002207846
870b3,0
870b4,0
870c1,0.637673498060387418058172834
870c2,0.376612724196480076467426104
870c3,1.76772366890326176673318555
870c4,0
870d1,0.284930303622568851103703980
870d2,0.848666745796574156067316952
870d3,0
870d4,0.640082695711373080922640538
870e1,0.316846047093803811301284576
870e2,0.158423023546901905650642288
870f1,0.0630547895489139357897948778
870f2,0.126109579097827871579589756
870g1,0.325292740977183930172216556
870g2,0.162646370488591965086108278
870g3,0
870g4,0.325292740977183930172216556
870h1,0.362066649108130096151822090
870h2,0.181033324554065048075911045
870i1,1.07729807287893875649119468
870i2,0
870i3,0
870i4,0
